Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Type ID,Match Name,Match ID,Map,Game ID,Year
Valorant Champions 2021,449,Group Stage,945,Opening (D),8272,Vision Strikers vs FULL SENSE,51282,Haven,57948,2021
Valorant Champions 2021,449,Group Stage,945,Opening (D),8272,Vision Strikers vs FULL SENSE,51282,Breeze,57949,2021
Valorant Champions 2021,449,Group Stage,945,Opening (C),8268,Team Vikings vs Crazy Raccoon,51278,Icebox,57936,2021
Valorant Champions 2021,449,Group Stage,945,Opening (C),8268,Team Vikings vs Crazy Raccoon,51278,Haven,57937,2021
Valorant Champions 2021,449,Group Stage,945,Opening (D),8272,FNATIC vs Cloud9,51283,Icebox,57951,2021
Valorant Champions 2021,449,Group Stage,945,Opening (D),8272,FNATIC vs Cloud9,51283,Split,57952,2021
Valorant Champions 2021,449,Group Stage,945,Opening (D),8272,FNATIC vs Cloud9,51283,Fracture,57953,2021
Valorant Champions 2021,449,Group Stage,945,Opening (C),8268,Gambit Esports vs Team Secret,51277,Icebox,57933,2021
Valorant Champions 2021,449,Group Stage,945,Opening (C),8268,Gambit Esports vs Team Secret,51277,Breeze,57934,2021
Valorant Champions 2021,449,Group Stage,945,Opening (C),8268,Gambit Esports vs Team Secret,51277,Bind,57935,2021
Valorant Champions 2021,449,Group Stage,945,Opening (B),8264,Sentinels vs FURIA,51273,Ascent,57921,2021
Valorant Champions 2021,449,Group Stage,945,Opening (B),8264,Sentinels vs FURIA,51273,Breeze,57922,2021
Valorant Champions 2021,449,Group Stage,945,Opening (B),8264,Sentinels vs FURIA,51273,Haven,57923,2021
Valorant Champions 2021,449,Group Stage,945,Opening (B),8264,KRÜ Esports vs Team Liquid,51272,Haven,57918,2021
Valorant Champions 2021,449,Group Stage,945,Opening (B),8264,KRÜ Esports vs Team Liquid,51272,Ascent,57919,2021
Valorant Champions 2021,449,Group Stage,945,Winner's (D),8273,Vision Strikers vs FNATIC,51284,Icebox,57954,2021
Valorant Champions 2021,449,Group Stage,945,Winner's (D),8273,Vision Strikers vs FNATIC,51284,Haven,57955,2021
Valorant Champions 2021,449,Group Stage,945,Winner's (D),8273,Vision Strikers vs FNATIC,51284,Fracture,57956,2021
Valorant Champions 2021,449,Group Stage,945,Opening (A),8260,Envy vs X10 Esports,51267,Breeze,57906,2021
Valorant Champions 2021,449,Group Stage,945,Opening (A),8260,Envy vs X10 Esports,51267,Ascent,57907,2021
Valorant Champions 2021,449,Group Stage,945,Winner's (C),8269,Gambit Esports vs Team Vikings,51279,Split,57939,2021
