Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Type ID,Year
Champions Tour Asia-Pacific: Last Chance Qualifier,560,All Stages,,All Match Types,,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096.0,Grand Final,7577.0,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096.0,Lower Bracket Final,7576.0,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096.0,Lower Bracket Round 1,7572.0,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096.0,Lower Bracket Round 2,7573.0,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096.0,Lower Bracket Round 3,7574.0,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096.0,Lower Bracket Round 4,7575.0,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096.0,Upper Bracket Final,7571.0,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096.0,Upper Bracket Quarterfinals,7344.0,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096.0,Upper Bracket Semifinals,7570.0,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096.0,Upper Round 1,,2021
Champions Tour Brazil Stage 1: Challengers 1,292,All Stages,,All Match Types,,2021
Champions Tour Brazil Stage 1: Challengers 1,292,Main Event,596.0,Decider (A),2680.0,2021
Champions Tour Brazil Stage 1: Challengers 1,292,Main Event,596.0,Decider (B),2681.0,2021
Champions Tour Brazil Stage 1: Challengers 1,292,Main Event,596.0,Elimination (A),2678.0,2021
Champions Tour Brazil Stage 1: Challengers 1,292,Main Event,596.0,Elimination (B),2679.0,2021
Champions Tour Brazil Stage 1: Challengers 1,292,Main Event,596.0,Opening (A),2674.0,2021
Champions Tour Brazil Stage 1: Challengers 1,292,Main Event,596.0,Opening (B),2675.0,2021
Champions Tour Brazil Stage 1: Challengers 1,292,Main Event,596.0,Winner's (A),2676.0,2021
Champions Tour Brazil Stage 1: Challengers 1,292,Main Event,596.0,Winner's (B),2677.0,2021
Champions Tour Brazil Stage 1: Challengers 1,292,Open Qualifier,594.0,Round of 16,2648.0,2021
Champions Tour Brazil Stage 1: Challengers 1,292,Open Qualifier,594.0,Round of 32,2647.0,2021
Champions Tour Brazil Stage 1: Challengers 2,301,All Stages,,All Match Types,,2021
Champions Tour Brazil Stage 1: Challengers 2,301,Main Event,624.0,Decider (A),2872.0,2021
Champions Tour Brazil Stage 1: Challengers 2,301,Main Event,624.0,Decider (B),2873.0,2021
Champions Tour Brazil Stage 1: Challengers 2,301,Main Event,624.0,Elimination (A),2870.0,2021
Champions Tour Brazil Stage 1: Challengers 2,301,Main Event,624.0,Elimination (B),2871.0,2021
Champions Tour Brazil Stage 1: Challengers 2,301,Main Event,624.0,Opening (A),2865.0,2021
Champions Tour Brazil Stage 1: Challengers 2,301,Main Event,624.0,Opening (B),2867.0,2021
Champions Tour Brazil Stage 1: Challengers 2,301,Main Event,624.0,Winner's (A),2868.0,2021
Champions Tour Brazil Stage 1: Challengers 2,301,Main Event,624.0,Winner's (B),2869.0,2021
Champions Tour Brazil Stage 1: Challengers 2,301,Open Qualifier,623.0,Quarterfinals,2833.0,2021
Champions Tour Brazil Stage 1: Challengers 2,301,Open Qualifier,623.0,Round of 16,2832.0,2021
Champions Tour Brazil Stage 1: Challengers 3,326,All Stages,,All Match Types,,2021
Champions Tour Brazil Stage 1: Challengers 3,326,Main Event,671.0,Decider (A),3099.0,2021
Champions Tour Brazil Stage 1: Challengers 3,326,Main Event,671.0,Decider (B),3100.0,2021
Champions Tour Brazil Stage 1: Challengers 3,326,Main Event,671.0,Elimination (A),3097.0,2021
Champions Tour Brazil Stage 1: Challengers 3,326,Main Event,671.0,Elimination (B),3098.0,2021
Champions Tour Brazil Stage 1: Challengers 3,326,Main Event,671.0,Opening (A),3093.0,2021
