Tournament,Stage,Match Type,Map,Total Maps Played,Attacker Side Win Percentage,Defender Side Win Percentage
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,All Maps,9,41%,59%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,Ascent,2,35%,65%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,Bind,2,40%,60%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,Icebox,2,45%,55%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,Breeze,1,61%,39%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,Haven,1,45%,55%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,Split,1,8%,92%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Semifinals,All Maps,5,35%,65%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Semifinals,Ascent,2,43%,57%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Semifinals,Bind,1,33%,67%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Semifinals,Haven,1,44%,56%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Semifinals,Icebox,1,17%,83%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Final,All Maps,3,25%,75%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Final,Ascent,1,21%,79%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Final,Bind,1,21%,79%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Final,Haven,1,35%,65%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 1,All Maps,5,38%,62%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 1,Bind,2,31%,69%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 1,Ascent,1,42%,58%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 1,Haven,1,38%,62%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 1,Split,1,45%,55%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 2,All Maps,5,46%,54%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 2,Bind,2,54%,46%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 2,Ascent,1,41%,59%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 2,Haven,1,43%,57%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 2,Split,1,42%,58%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 3,All Maps,6,56%,44%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 3,Ascent,2,48%,52%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 3,Bind,2,65%,35%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 3,Breeze,1,44%,56%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 3,Haven,1,63%,38%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 4,All Maps,2,38%,62%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 4,Ascent,1,43%,57%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 4,Bind,1,33%,67%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Final,All Maps,2,33%,67%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Final,Ascent,1,41%,59%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Final,Bind,1,21%,79%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Grand Final,All Maps,5,67%,33%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Grand Final,Ascent,1,68%,32%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Grand Final,Bind,1,58%,42%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Grand Final,Haven,1,71%,29%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Grand Final,Icebox,1,79%,21%
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Grand Final,Split,1,55%,45%
Champions Tour Asia-Pacific: Last Chance Qualifier,All Stages,All Match Types,All Maps,42,44%,56%
Champions Tour Asia-Pacific: Last Chance Qualifier,All Stages,All Match Types,Bind,13,43%,57%
Champions Tour Asia-Pacific: Last Chance Qualifier,All Stages,All Match Types,Ascent,12,42%,58%
Champions Tour Asia-Pacific: Last Chance Qualifier,All Stages,All Match Types,Haven,7,49%,51%
Champions Tour Asia-Pacific: Last Chance Qualifier,All Stages,All Match Types,Icebox,4,47%,53%
Champions Tour Asia-Pacific: Last Chance Qualifier,All Stages,All Match Types,Split,4,40%,60%
Champions Tour Asia-Pacific: Last Chance Qualifier,All Stages,All Match Types,Breeze,2,54%,46%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,All Maps,11,46%,54%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Breeze,3,61%,39%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,2,36%,64%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Icebox,2,54%,46%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,2,30%,70%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,1,55%,45%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,1,33%,67%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,All Maps,6,59%,41%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,Ascent,2,59%,41%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,Breeze,2,67%,33%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,Haven,1,53%,47%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,Split,1,50%,50%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Final,All Maps,3,55%,45%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Final,Ascent,1,39%,61%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Final,Breeze,1,63%,38%
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Final,Haven,1,63%,38%
Champions Tour North America: Last Chance Qualifier,Main Event,Grand Final,All Maps,3,38%,62%
Champions Tour North America: Last Chance Qualifier,Main Event,Grand Final,Bind,1,46%,54%
Champions Tour North America: Last Chance Qualifier,Main Event,Grand Final,Breeze,1,48%,52%
Champions Tour North America: Last Chance Qualifier,Main Event,Grand Final,Split,1,8%,92%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,All Maps,4,61%,39%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,Breeze,1,57%,43%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,Haven,1,59%,41%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,Icebox,1,70%,30%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,Split,1,59%,41%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,All Maps,5,48%,52%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Ascent,1,79%,21%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Bind,1,45%,55%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Breeze,1,43%,57%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Icebox,1,41%,59%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Split,1,42%,58%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 3,All Maps,2,57%,43%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 3,Ascent,1,58%,42%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 3,Bind,1,55%,45%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Final,All Maps,3,53%,47%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Final,Breeze,1,50%,50%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Final,Haven,1,41%,59%
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Final,Icebox,1,67%,33%
Champions Tour North America: Last Chance Qualifier,All Stages,All Match Types,All Maps,37,52%,48%
Champions Tour North America: Last Chance Qualifier,All Stages,All Match Types,Breeze,10,58%,42%
Champions Tour North America: Last Chance Qualifier,All Stages,All Match Types,Ascent,7,51%,49%
Champions Tour North America: Last Chance Qualifier,All Stages,All Match Types,Split,6,38%,62%
Champions Tour North America: Last Chance Qualifier,All Stages,All Match Types,Haven,5,51%,49%
Champions Tour North America: Last Chance Qualifier,All Stages,All Match Types,Icebox,5,58%,42%
Champions Tour North America: Last Chance Qualifier,All Stages,All Match Types,Bind,4,50%,50%
Champions Tour South America: Last Chance Qualifier,Playoffs,Semifinals,All Maps,5,58%,42%
Champions Tour South America: Last Chance Qualifier,Playoffs,Semifinals,Split,2,37%,63%
Champions Tour South America: Last Chance Qualifier,Playoffs,Semifinals,Icebox,2,73%,27%
Champions Tour South America: Last Chance Qualifier,Playoffs,Semifinals,Ascent,1,72%,28%
Champions Tour South America: Last Chance Qualifier,Playoffs,Grand Final,All Maps,3,46%,54%
Champions Tour South America: Last Chance Qualifier,Playoffs,Grand Final,Ascent,1,37%,63%
Champions Tour South America: Last Chance Qualifier,Playoffs,Grand Final,Icebox,1,67%,33%
Champions Tour South America: Last Chance Qualifier,Playoffs,Grand Final,Split,1,39%,61%
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),All Maps,5,53%,47%
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Ascent,2,43%,57%
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Haven,2,54%,46%
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Split,1,67%,33%
Champions Tour South America: Last Chance Qualifier,Group Stage,Winner's (A),All Maps,3,43%,57%
