Tournament,Stage,Match Type,Match Name,Team,Action,Map
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,FULL SENSE,ban,Fracture
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Vision Strikers,ban,Ascent
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,FULL SENSE,pick,Haven
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Vision Strikers,pick,Breeze
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,FULL SENSE,ban,Bind
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Vision Strikers,ban,Split
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Crazy Raccoon,ban,Bind
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Team Vikings,ban,Ascent
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Crazy Raccoon,pick,Icebox
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Team Vikings,pick,Haven
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Crazy Raccoon,ban,Fracture
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Team Vikings,ban,Breeze
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,FNATIC,ban,Breeze
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Cloud9,ban,Ascent
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,FNATIC,pick,Icebox
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Cloud9,pick,Split
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,FNATIC,ban,Bind
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Cloud9,ban,Haven
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Team Secret,ban,Ascent
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Gambit Esports,ban,Haven
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Team Secret,pick,Icebox
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Gambit Esports,pick,Breeze
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Team Secret,ban,Split
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Gambit Esports,ban,Fracture
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,FURIA,ban,Bind
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Sentinels,ban,Icebox
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,FURIA,pick,Ascent
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Sentinels,pick,Breeze
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,FURIA,ban,Fracture
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Sentinels,ban,Split
Valorant Champions 2021,Group Stage,Opening (B),KRÜ Esports vs Team Liquid,KRÜ Esports,ban,Breeze
Valorant Champions 2021,Group Stage,Opening (B),KRÜ Esports vs Team Liquid,Team Liquid,ban,Fracture
Valorant Champions 2021,Group Stage,Opening (B),KRÜ Esports vs Team Liquid,KRÜ Esports,pick,Haven
Valorant Champions 2021,Group Stage,Opening (B),KRÜ Esports vs Team Liquid,Team Liquid,pick,Ascent
Valorant Champions 2021,Group Stage,Opening (B),KRÜ Esports vs Team Liquid,KRÜ Esports,ban,Icebox
Valorant Champions 2021,Group Stage,Opening (B),KRÜ Esports vs Team Liquid,Team Liquid,ban,Bind
Valorant Champions 2021,Group Stage,Winner's (D),Vision Strikers vs FNATIC,FNATIC,ban,Breeze
Valorant Champions 2021,Group Stage,Winner's (D),Vision Strikers vs FNATIC,Vision Strikers,ban,Ascent
Valorant Champions 2021,Group Stage,Winner's (D),Vision Strikers vs FNATIC,FNATIC,pick,Icebox
Valorant Champions 2021,Group Stage,Winner's (D),Vision Strikers vs FNATIC,Vision Strikers,pick,Haven
