Team,Team ID
Paper Rex,624
EDward Gaming,1120
Leviatán,2359
Team Liquid,474
ZETA DIVISION,5448
LOUD,6961
OpTic Gaming,8127
BOOM Esports,466
DRX,8185
FURIA,2406
FNATIC,2593
100 Thieves,120
XSET,533
XERXIA Esports,7397
FunPlus Phoenix,628
KRÜ Esports,2355
Ninjas In Pyjamas,7391
9z Team,367
FUSION,7269
Keyd Stars,4894
E-Xolos LAZER,724
TBK Esports,6946
The Guard,6675
Sentinels,2
FaZe Clan,337
Evil Geniuses,5248
NRG Esports,1034
Shopify Rebellion,9353
Cloud9,188
G2 Esports,257
OG LDN UTD,8903
M3 Champions,8326
Acend,3531
BBL Esports,397
Guild Esports,1209
Natus Vincere,4915
Incheon On Sla2ers,8182
Maru Gaming,8086
REJECT,104
Crazy Raccoon,277
DAMWON Gaming,2542
NORTHEPTION,2988
KONE eSports Club,5443
ORDER,1208
Fancy United Esports,4330
CERBERUS Esports,4325
Alter Ego,1110
Griffin E-Sports,3107
Made in Thailand,4210
Team Secret,6199
ONIC G,2032
BLEED,6387
Funcrew,1319
BOBO,8448
REIGN,8591
Bonkers,7313
HONEY BADGERS,7312
Zer0 Latency,8357
TEN-5,8472
YFP Gaming,5038
MEW2,8612
Complexity,470
Tokyo Revengers,8459
Aspyre,6859
RILLAS,8613
SoaR,4345
Mizzou Esports,8614
Exotic,1301
Free Fall,7704
DarkZero Esports,4346
Ego peekers,8615
Able Esports,1669
DawN,8616
Ghost Gaming,2291
Team Opulence Black,8498
5 of a Kind,7816
Nation Gaming,8453
BASILISK,3337
Lycus Empire,6431
Thanos Mug Academy,7839
SWARM esports,8617
AstraSect,8120
Team Opulence Gold,8593
Flex Gaming,8460
FaRt Clan,8358
T1,14
Ugly Hamsters,8476
Team Flux,952
afterMath Esports,4260
Moon Raccoons,793
Nana's Biscuits,8619
New Moon,7862
select few,7707
Lenny Time,6045
Go 4 Broke,8473
Unknown,8478
Eros,4648
Soniqs,2350
SSA,8620
Moonrise,6912
Crownless,6861
