Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Type ID
Champions Tour EMEA: Last Chance Qualifier,1117,Main Event,2163,Upper Quarterfinals,12604
Champions Tour EMEA: Last Chance Qualifier,1117,Main Event,2163,Upper Semifinals,12605
Champions Tour EMEA: Last Chance Qualifier,1117,Main Event,2163,Upper Final,12606
Champions Tour EMEA: Last Chance Qualifier,1117,Main Event,2163,Grand Final,12607
Champions Tour EMEA: Last Chance Qualifier,1117,Main Event,2163,Lower Round 1,12608
Champions Tour EMEA: Last Chance Qualifier,1117,Main Event,2163,Lower Round 2,12609
Champions Tour EMEA: Last Chance Qualifier,1117,Main Event,2163,Lower Round 3,12610
Champions Tour EMEA: Last Chance Qualifier,1117,Main Event,2163,Lower Final,12611
Champions Tour EMEA: Last Chance Qualifier,1117,All Stages,,All Match Types,
Champions Tour North America: Last Chance Qualifier,1130,Main Event,2190,Upper Quarterfinals,13218
Champions Tour North America: Last Chance Qualifier,1130,Main Event,2190,Upper Semifinals,13219
Champions Tour North America: Last Chance Qualifier,1130,Main Event,2190,Upper Final,13220
Champions Tour North America: Last Chance Qualifier,1130,Main Event,2190,Grand Final,13221
Champions Tour North America: Last Chance Qualifier,1130,Main Event,2190,Lower Round 1,13222
Champions Tour North America: Last Chance Qualifier,1130,Main Event,2190,Lower Round 2,13223
Champions Tour North America: Last Chance Qualifier,1130,Main Event,2190,Lower Round 3,13224
Champions Tour North America: Last Chance Qualifier,1130,Main Event,2190,Lower Final,13225
Champions Tour North America: Last Chance Qualifier,1130,All Stages,,All Match Types,
Champions Tour South America: Last Chance Qualifier,1111,Main Event,2154,Upper Quarterfinals,13253
Champions Tour South America: Last Chance Qualifier,1111,Main Event,2154,Upper Semifinals,13254
Champions Tour South America: Last Chance Qualifier,1111,Main Event,2154,Upper Final,13255
Champions Tour South America: Last Chance Qualifier,1111,Main Event,2154,Lower Round 1,13256
Champions Tour South America: Last Chance Qualifier,1111,Main Event,2154,Lower Round 2,13257
Champions Tour South America: Last Chance Qualifier,1111,Main Event,2154,Lower Round 3,13258
Champions Tour South America: Last Chance Qualifier,1111,Main Event,2154,Lower Final,13259
Champions Tour South America: Last Chance Qualifier,1111,All Stages,,All Match Types,
Champions Tour East Asia: Last Chance Qualifier,1083,Main Event,2130,Upper Quarterfinals,13268
Champions Tour East Asia: Last Chance Qualifier,1083,Main Event,2130,Upper Semifinals,13269
Champions Tour East Asia: Last Chance Qualifier,1083,Main Event,2130,Upper Final,13270
Champions Tour East Asia: Last Chance Qualifier,1083,Main Event,2130,Grand Final,13271
Champions Tour East Asia: Last Chance Qualifier,1083,Main Event,2130,Lower Round 1,13272
Champions Tour East Asia: Last Chance Qualifier,1083,Main Event,2130,Lower Round 2,13273
Champions Tour East Asia: Last Chance Qualifier,1083,Main Event,2130,Lower Round 3,13274
Champions Tour East Asia: Last Chance Qualifier,1083,Main Event,2130,Lower Final,13275
