Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID
Valorant Champions 2022,1015,Group Stage,2183,Opening (A),Paper Rex vs EDward Gaming,130617,Pearl,95029
Valorant Champions 2022,1015,Group Stage,2183,Opening (A),Paper Rex vs EDward Gaming,130617,Icebox,95030
Valorant Champions 2022,1015,Group Stage,2183,Opening (A),Paper Rex vs EDward Gaming,130617,Haven,95031
Valorant Champions 2022,1015,Group Stage,2183,Opening (A),Leviatán vs Team Liquid,130618,Haven,95032
Valorant Champions 2022,1015,Group Stage,2183,Opening (A),Leviatán vs Team Liquid,130618,Ascent,95033
Valorant Champions 2022,1015,Group Stage,2183,Opening (B),ZETA DIVISION vs LOUD,130623,Ascent,95047
Valorant Champions 2022,1015,Group Stage,2183,Opening (B),ZETA DIVISION vs LOUD,130623,Fracture,95048
Valorant Champions 2022,1015,Group Stage,2183,Opening (B),OpTic Gaming vs BOOM Esports,130622,Breeze,95044
Valorant Champions 2022,1015,Group Stage,2183,Opening (B),OpTic Gaming vs BOOM Esports,130622,Bind,95045
Valorant Champions 2022,1015,Group Stage,2183,Opening (B),OpTic Gaming vs BOOM Esports,130622,Fracture,95046
Valorant Champions 2022,1015,Group Stage,2183,Winner's (A),Paper Rex vs Leviatán,130619,Haven,95035
Valorant Champions 2022,1015,Group Stage,2183,Winner's (A),Paper Rex vs Leviatán,130619,Bind,95036
Valorant Champions 2022,1015,Group Stage,2183,Opening (D),DRX vs FURIA,130632,Ascent,95074
Valorant Champions 2022,1015,Group Stage,2183,Opening (D),DRX vs FURIA,130632,Haven,95075
Valorant Champions 2022,1015,Group Stage,2183,Opening (D),FNATIC vs 100 Thieves,130633,Pearl,95077
Valorant Champions 2022,1015,Group Stage,2183,Opening (D),FNATIC vs 100 Thieves,130633,Bind,95078
Valorant Champions 2022,1015,Group Stage,2183,Opening (D),FNATIC vs 100 Thieves,130633,Haven,95079
Valorant Champions 2022,1015,Group Stage,2183,Winner's (B),OpTic Gaming vs LOUD,130624,Breeze,95050
Valorant Champions 2022,1015,Group Stage,2183,Winner's (B),OpTic Gaming vs LOUD,130624,Fracture,95051
Valorant Champions 2022,1015,Group Stage,2183,Winner's (B),OpTic Gaming vs LOUD,130624,Pearl,95052
Valorant Champions 2022,1015,Group Stage,2183,Opening (C),XSET vs XERXIA Esports,130628,Fracture,95062
Valorant Champions 2022,1015,Group Stage,2183,Opening (C),XSET vs XERXIA Esports,130628,Icebox,95063
Valorant Champions 2022,1015,Group Stage,2183,Opening (C),FunPlus Phoenix vs KRÜ Esports,130627,Icebox,95059
Valorant Champions 2022,1015,Group Stage,2183,Opening (C),FunPlus Phoenix vs KRÜ Esports,130627,Bind,95060
Valorant Champions 2022,1015,Group Stage,2183,Winner's (D),DRX vs 100 Thieves,130634,Breeze,95080
Valorant Champions 2022,1015,Group Stage,2183,Winner's (D),DRX vs 100 Thieves,130634,Fracture,95081
Valorant Champions 2022,1015,Group Stage,2183,Elimination (B),BOOM Esports vs ZETA DIVISION,130625,Haven,95053
Valorant Champions 2022,1015,Group Stage,2183,Elimination (B),BOOM Esports vs ZETA DIVISION,130625,Pearl,95054
Valorant Champions 2022,1015,Group Stage,2183,Elimination (B),BOOM Esports vs ZETA DIVISION,130625,Fracture,95055
Valorant Champions 2022,1015,Group Stage,2183,Elimination (A),EDward Gaming vs Team Liquid,130620,Bind,95038
Valorant Champions 2022,1015,Group Stage,2183,Elimination (A),EDward Gaming vs Team Liquid,130620,Breeze,95039
Valorant Champions 2022,1015,Group Stage,2183,Elimination (C),KRÜ Esports vs XERXIA Esports,130630,Icebox,95068
Valorant Champions 2022,1015,Group Stage,2183,Elimination (C),KRÜ Esports vs XERXIA Esports,130630,Haven,95069
Valorant Champions 2022,1015,Group Stage,2183,Elimination (C),KRÜ Esports vs XERXIA Esports,130630,Ascent,95070
Valorant Champions 2022,1015,Group Stage,2183,Elimination (D),FURIA vs FNATIC,130635,Icebox,95083
Valorant Champions 2022,1015,Group Stage,2183,Elimination (D),FURIA vs FNATIC,130635,Breeze,95084
Valorant Champions 2022,1015,Group Stage,2183,Elimination (D),FURIA vs FNATIC,130635,Haven,95085
Valorant Champions 2022,1015,Group Stage,2183,Winner's (C),FunPlus Phoenix vs XSET,130629,Pearl,95065
Valorant Champions 2022,1015,Group Stage,2183,Winner's (C),FunPlus Phoenix vs XSET,130629,Fracture,95066
Valorant Champions 2022,1015,Group Stage,2183,Winner's (C),FunPlus Phoenix vs XSET,130629,Breeze,95067
Valorant Champions 2022,1015,Group Stage,2183,Decider (A),Paper Rex vs Team Liquid,130621,Haven,95041
Valorant Champions 2022,1015,Group Stage,2183,Decider (A),Paper Rex vs Team Liquid,130621,Pearl,95042
Valorant Champions 2022,1015,Group Stage,2183,Decider (A),Paper Rex vs Team Liquid,130621,Ascent,95043
Valorant Champions 2022,1015,Group Stage,2183,Decider (B),LOUD vs ZETA DIVISION,130626,Bind,95056
Valorant Champions 2022,1015,Group Stage,2183,Decider (B),LOUD vs ZETA DIVISION,130626,Ascent,95057
Valorant Champions 2022,1015,Group Stage,2183,Decider (C),FunPlus Phoenix vs KRÜ Esports,130631,Icebox,95071
