Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,Paper Rex,11,0,1,1,7,1,3,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,EDward Gaming,7,1,3,0,11,0,1,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,Paper Rex,5,0,0,0,11,2,0,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,EDward Gaming,11,2,0,0,5,0,0,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,Paper Rex,9,1,3,0,5,1,1,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,EDward Gaming,5,1,1,1,9,1,3,0
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Haven,Leviatán,8,0,5,0,6,1,2,1
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Haven,Team Liquid,6,1,2,1,8,0,5,0
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Leviatán,7,4,2,0,6,1,2,1
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Team Liquid,6,1,2,1,7,4,2,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,ZETA DIVISION,6,0,1,1,10,1,2,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,LOUD,10,1,2,0,6,0,1,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,ZETA DIVISION,6,0,2,1,8,0,5,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,LOUD,8,0,5,0,6,0,2,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,OpTic Gaming,10,0,6,0,10,3,5,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,BOOM Esports,10,3,5,0,10,0,6,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,OpTic Gaming,11,0,2,0,3,2,0,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,BOOM Esports,3,2,0,0,11,0,2,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,OpTic Gaming,7,0,5,1,2,1,0,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,BOOM Esports,2,1,0,0,7,0,5,1
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Paper Rex,3,3,2,0,11,0,2,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Leviatán,11,0,2,0,3,3,2,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Paper Rex,5,3,2,1,7,1,5,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Leviatán,7,1,5,0,5,3,2,1
