Tournament,Stage,Match Type,Map,Agent,Pick Rate
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,omen,67%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,skye,58%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,raze,58%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,breach,58%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,killjoy,58%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,jett,42%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,viper,33%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,sova,25%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,astra,17%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,brimstone,17%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,cypher,17%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,fade,17%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,sage,8%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,kayo,8%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,yoru,8%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,harbor,8%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,neon,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,phoenix,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,iso,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,reyna,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,gekko,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,deadlock,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,All Maps,chamber,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,omen,100%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,skye,25%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,raze,50%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,breach,75%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,killjoy,75%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,jett,50%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,viper,25%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,sova,50%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,astra,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,brimstone,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,cypher,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,fade,25%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,sage,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,kayo,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,yoru,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,harbor,25%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,neon,0%
