Tournament,Stage,Match Type,Map,Team,Agent Picked,Total Wins By Map,Total Loss By Map,Total Maps Played
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Fracture,Team Heretics,omen,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Fracture,Team Heretics,skye,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Fracture,Team Heretics,raze,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Fracture,Team Heretics,viper,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Fracture,Team Heretics,cypher,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Fracture,KOI,skye,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Fracture,KOI,raze,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Fracture,KOI,breach,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Fracture,KOI,brimstone,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Fracture,KOI,cypher,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Pearl,Team Heretics,killjoy,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Pearl,Team Heretics,jett,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Pearl,Team Heretics,astra,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Pearl,Team Heretics,fade,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Pearl,Team Heretics,yoru,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Pearl,KOI,skye,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Pearl,KOI,killjoy,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Pearl,KOI,jett,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Pearl,KOI,astra,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Pearl,KOI,kayo,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,Team Heretics,omen,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,Team Heretics,raze,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,Team Heretics,breach,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,Team Heretics,killjoy,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,Team Heretics,fade,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,KOI,omen,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,KOI,skye,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,KOI,killjoy,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,KOI,jett,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,KOI,viper,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,BBL Esports,omen,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,BBL Esports,breach,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,BBL Esports,killjoy,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,BBL Esports,jett,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,BBL Esports,sova,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,Karmine Corp,omen,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,Karmine Corp,raze,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,Karmine Corp,breach,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,Karmine Corp,sova,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Haven,Karmine Corp,harbor,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Lotus,BBL Esports,omen,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Lotus,BBL Esports,skye,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Lotus,BBL Esports,breach,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Lotus,BBL Esports,killjoy,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Lotus,BBL Esports,jett,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Lotus,Karmine Corp,omen,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Lotus,Karmine Corp,raze,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Lotus,Karmine Corp,breach,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Lotus,Karmine Corp,killjoy,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Lotus,Karmine Corp,sova,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Bind,BBL Esports,skye,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Bind,BBL Esports,raze,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Bind,BBL Esports,viper,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Bind,BBL Esports,brimstone,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Bind,BBL Esports,sage,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Bind,Karmine Corp,omen,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Bind,Karmine Corp,skye,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Bind,Karmine Corp,raze,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Bind,Karmine Corp,breach,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Bind,Karmine Corp,viper,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,Natus Vincere,raze,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,Natus Vincere,cypher,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,Natus Vincere,omen,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,Natus Vincere,fade,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,Natus Vincere,sage,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,KOI,skye,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,KOI,raze,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,KOI,astra,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,KOI,viper,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,KOI,jett,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,Giants Gaming,skye,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,Giants Gaming,raze,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,Giants Gaming,cypher,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,Giants Gaming,breach,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,Giants Gaming,omen,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,Karmine Corp,skye,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,Karmine Corp,raze,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,Karmine Corp,cypher,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,Karmine Corp,breach,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Split,Karmine Corp,omen,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Lotus,Natus Vincere,cypher,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Lotus,Natus Vincere,breach,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Lotus,Natus Vincere,sova,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Lotus,Natus Vincere,brimstone,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Lotus,Natus Vincere,neon,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Lotus,KOI,skye,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Lotus,KOI,raze,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Lotus,KOI,astra,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Lotus,KOI,viper,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Lotus,KOI,killjoy,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,Giants Gaming,skye,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,Giants Gaming,cypher,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,Giants Gaming,astra,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,Giants Gaming,sova,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,Giants Gaming,jett,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,Karmine Corp,skye,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,Karmine Corp,astra,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,Karmine Corp,killjoy,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,Karmine Corp,harbor,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,Karmine Corp,phoenix,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,KOI,jett,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,KOI,skye,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,KOI,killjoy,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,KOI,omen,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,KOI,viper,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,Giants Gaming,jett,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,Giants Gaming,killjoy,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,Giants Gaming,sova,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,Giants Gaming,omen,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,Giants Gaming,breach,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Pearl,KOI,jett,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Pearl,KOI,skye,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Pearl,KOI,killjoy,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Pearl,KOI,astra,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Pearl,KOI,kayo,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Pearl,Giants Gaming,jett,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Pearl,Giants Gaming,skye,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Pearl,Giants Gaming,astra,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Pearl,Giants Gaming,sova,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Pearl,Giants Gaming,cypher,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Bind,Giants Gaming,breach,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Bind,Giants Gaming,chamber,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Bind,Giants Gaming,raze,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Bind,Giants Gaming,omen,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Bind,Giants Gaming,yoru,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Bind,Natus Vincere,raze,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Bind,Natus Vincere,brimstone,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Bind,Natus Vincere,neon,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Bind,Natus Vincere,viper,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Bind,Natus Vincere,skye,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Lotus,Giants Gaming,breach,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Lotus,Giants Gaming,chamber,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Lotus,Giants Gaming,raze,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Lotus,Giants Gaming,omen,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Lotus,Giants Gaming,jett,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Lotus,Natus Vincere,breach,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Lotus,Natus Vincere,brimstone,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Lotus,Natus Vincere,neon,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Lotus,Natus Vincere,cypher,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Lotus,Natus Vincere,sova,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Haven,Giants Gaming,breach,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Haven,Giants Gaming,chamber,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Haven,Giants Gaming,raze,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Haven,Giants Gaming,omen,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Haven,Giants Gaming,jett,1,0,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Haven,Natus Vincere,breach,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Haven,Natus Vincere,chamber,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Haven,Natus Vincere,omen,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Haven,Natus Vincere,jett,0,1,1
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Haven,Natus Vincere,phoenix,0,1,1
