Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Team Liquid,Pistol Won,,2
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Team Liquid,Eco (won),2,2
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Team Liquid,$ (won),2,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Team Liquid,$$ (won),8,4
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Team Liquid,$$$ (won),12,5
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Natus Vincere,Pistol Won,,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Natus Vincere,Eco (won),4,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Natus Vincere,$ (won),1,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Natus Vincere,$$ (won),4,3
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Natus Vincere,$$$ (won),15,10
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Team Liquid,Pistol Won,,1
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Team Liquid,Eco (won),3,2
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Team Liquid,$ (won),2,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Team Liquid,$$ (won),6,3
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Team Liquid,$$$ (won),21,10
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Natus Vincere,Pistol Won,,1
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Natus Vincere,Eco (won),3,1
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Natus Vincere,$ (won),0,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Natus Vincere,$$ (won),7,4
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Natus Vincere,$$$ (won),22,12
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,All Maps,Team Liquid,Pistol Won,,3
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,All Maps,Team Liquid,Eco (won),5,4
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,All Maps,Team Liquid,$ (won),4,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,All Maps,Team Liquid,$$ (won),14,7
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,All Maps,Team Liquid,$$$ (won),33,15
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,All Maps,Natus Vincere,Pistol Won,,1
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,All Maps,Natus Vincere,Eco (won),7,1
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,All Maps,Natus Vincere,$ (won),1,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,All Maps,Natus Vincere,$$ (won),11,7
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,All Maps,Natus Vincere,$$$ (won),37,22
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,DRX,Pistol Won,,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,DRX,Eco (won),4,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,DRX,$ (won),2,1
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,DRX,$$ (won),7,3
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,DRX,$$$ (won),15,9
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,LOUD,Pistol Won,,2
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,LOUD,Eco (won),2,2
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,LOUD,$ (won),1,0
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,LOUD,$$ (won),8,3
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,LOUD,$$$ (won),17,10
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Split,DRX,Pistol Won,,2
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Split,DRX,Eco (won),2,2
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Split,DRX,$ (won),2,1
