Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agent,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuse
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,All Maps,Team Liquid,soulcas,astra,4,1,,,1,,,,,30,2,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,All Maps,Team Liquid,Sayf,breach,8,3,,,1,,,,,48,4,1
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,All Maps,Team Liquid,nAts,viper,13,3,1,,,,,,,58,2,1
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,All Maps,Team Liquid,Redgar,sova,8,,,,,,,,,38,5,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,All Maps,Team Liquid,Jamppi,neon,9,2,,1,2,,,,,43,4,1
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,All Maps,Natus Vincere,Zyppan,raze,5,3,1,,1,,,,,48,3,1
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,All Maps,Natus Vincere,ANGE1,omen,6,,1,,,,,,,47,2,1
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,All Maps,Natus Vincere,Shao,fade,8,1,,,,,,,,45,8,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,All Maps,Natus Vincere,cNed,killjoy,9,2,,,1,1,,,,46,1,1
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,All Maps,Natus Vincere,SUYGETSU,viper,6,4,,,,,1,,,57,4,2
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Team Liquid,soulcas,astra,3,1,,,1,,,,,39,0,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Team Liquid,Sayf,breach,1,2,,,1,,,,,44,3,1
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Team Liquid,nAts,viper,4,1,1,,,,,,,60,0,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Team Liquid,Redgar,sova,2,,,,,,,,,33,2,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Team Liquid,Jamppi,neon,3,1,,1,,,,,,48,1,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Natus Vincere,Zyppan,raze,3,2,,,,,,,,55,1,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Natus Vincere,ANGE1,omen,3,,,,,,,,,43,0,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Natus Vincere,Shao,fade,3,,,,,,,,,49,5,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Natus Vincere,cNed,killjoy,3,1,,,,1,,,,54,1,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,Natus Vincere,SUYGETSU,viper,3,2,,,,,,,,63,1,1
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Team Liquid,soulcas,skye,1,,,,,,,,,21,2,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Team Liquid,Sayf,raze,7,1,,,,,,,,51,1,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Team Liquid,nAts,viper,9,2,,,,,,,,56,2,1
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Team Liquid,Redgar,astra,6,,,,,,,,,42,3,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Team Liquid,Jamppi,chamber,6,1,,,2,,,,,38,3,1
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Natus Vincere,Zyppan,raze,2,1,1,,1,,,,,41,2,1
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Natus Vincere,ANGE1,brimstone,3,,1,,,,,,,50,2,1
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Natus Vincere,Shao,skye,5,1,,,,,,,,40,3,0
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Natus Vincere,cNed,neon,6,1,,,1,,,,,38,0,1
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,Natus Vincere,SUYGETSU,viper,3,2,,,,,1,,,50,3,1
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,All Maps,DRX,stax,fade,14,3,,,1,1,,,,48,12,1
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,All Maps,DRX,Rb,killjoy,8,4,1,,4,,1,,,55,3,2
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,All Maps,DRX,Zest,viper,6,4,1,,,,,1,,62,2,1
