Tournament,Stage,Match Type,Match Name,Map
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Split
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Lotus
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Split
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Fracture
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Haven
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Pearl
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Bind
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Split
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Pearl
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Split
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Bind
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Ascent
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Haven
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Lotus
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Haven
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Split
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Lotus
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Bind
Valorant Champions 2023,Group Stage,Winner's (A),Paper Rex vs EDward Gaming,Fracture
Valorant Champions 2023,Group Stage,Winner's (A),Paper Rex vs EDward Gaming,Pearl
Valorant Champions 2023,Group Stage,Elimination (A),KRÜ Esports vs Giants Gaming,Lotus
Valorant Champions 2023,Group Stage,Elimination (A),KRÜ Esports vs Giants Gaming,Pearl
Valorant Champions 2023,Group Stage,Elimination (C),ZETA DIVISION vs NRG Esports,Bind
Valorant Champions 2023,Group Stage,Elimination (C),ZETA DIVISION vs NRG Esports,Haven
Valorant Champions 2023,Group Stage,Decider (D),Natus Vincere vs LOUD,Pearl
Valorant Champions 2023,Group Stage,Decider (D),Natus Vincere vs LOUD,Ascent
Valorant Champions 2023,Group Stage,Decider (D),Natus Vincere vs LOUD,Bind
Valorant Champions 2023,Group Stage,Decider (B),FUT Esports vs T1,Bind
Valorant Champions 2023,Group Stage,Decider (B),FUT Esports vs T1,Pearl
Valorant Champions 2023,Group Stage,Decider (A),EDward Gaming vs Giants Gaming,Split
Valorant Champions 2023,Group Stage,Decider (A),EDward Gaming vs Giants Gaming,Fracture
Valorant Champions 2023,Group Stage,Decider (C),Bilibili Gaming vs NRG Esports,Bind
Valorant Champions 2023,Group Stage,Decider (C),Bilibili Gaming vs NRG Esports,Ascent
Valorant Champions 2023,Playoffs,Upper Quarterfinals,FNATIC vs LOUD,Ascent
Valorant Champions 2023,Playoffs,Upper Quarterfinals,FNATIC vs LOUD,Lotus
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Paper Rex vs FUT Esports,Ascent
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Paper Rex vs FUT Esports,Pearl
Valorant Champions 2023,Playoffs,Upper Quarterfinals,DRX vs Bilibili Gaming,Lotus
Valorant Champions 2023,Playoffs,Upper Quarterfinals,DRX vs Bilibili Gaming,Haven
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,Split
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,Ascent
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,Pearl
Valorant Champions 2023,Playoffs,Lower Round 1,FNATIC vs FUT Esports,Split
Valorant Champions 2023,Playoffs,Lower Round 1,FNATIC vs FUT Esports,Haven
Valorant Champions 2023,Playoffs,Lower Round 1,Bilibili Gaming vs EDward Gaming,Bind
Valorant Champions 2023,Playoffs,Lower Round 1,Bilibili Gaming vs EDward Gaming,Split
Valorant Champions 2023,Playoffs,Lower Round 1,Bilibili Gaming vs EDward Gaming,Haven
Valorant Champions 2023,Playoffs,Upper Semifinals,LOUD vs Paper Rex,Lotus
Valorant Champions 2023,Playoffs,Upper Semifinals,LOUD vs Paper Rex,Split
Valorant Champions 2023,Playoffs,Upper Semifinals,LOUD vs Paper Rex,Pearl
Valorant Champions 2023,Playoffs,Upper Semifinals,DRX vs Evil Geniuses,Fracture
Valorant Champions 2023,Playoffs,Upper Semifinals,DRX vs Evil Geniuses,Lotus
Valorant Champions 2023,Playoffs,Lower Round 2,LOUD vs EDward Gaming,Bind
Valorant Champions 2023,Playoffs,Lower Round 2,LOUD vs EDward Gaming,Ascent
Valorant Champions 2023,Playoffs,Lower Round 2,LOUD vs EDward Gaming,Haven
Valorant Champions 2023,Playoffs,Lower Round 2,DRX vs FNATIC,Bind
Valorant Champions 2023,Playoffs,Lower Round 2,DRX vs FNATIC,Haven
Valorant Champions 2023,Playoffs,Lower Round 2,DRX vs FNATIC,Split
Valorant Champions 2023,Playoffs,Upper Final,Paper Rex vs Evil Geniuses,Ascent
Valorant Champions 2023,Playoffs,Upper Final,Paper Rex vs Evil Geniuses,Bind
Valorant Champions 2023,Playoffs,Upper Final,Paper Rex vs Evil Geniuses,Pearl
Valorant Champions 2023,Playoffs,Lower Round 3,FNATIC vs LOUD,Split
Valorant Champions 2023,Playoffs,Lower Round 3,FNATIC vs LOUD,Ascent
Valorant Champions 2023,Playoffs,Lower Round 3,FNATIC vs LOUD,Haven
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Ascent
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Lotus
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Pearl
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Split
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Bind
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Split
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Ascent
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Bind
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Lotus
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,MIBR vs KRÜ Esports,Bind
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,MIBR vs KRÜ Esports,Lotus
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,FURIA vs KRÜ Esports,Split
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,FURIA vs KRÜ Esports,Ascent
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,FURIA vs KRÜ Esports,Bind
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Sentinels vs 100 Thieves,Pearl
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Sentinels vs 100 Thieves,Split
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Sentinels vs 100 Thieves,Bind
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Cloud9 vs Sentinels,Pearl
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Cloud9 vs Sentinels,Fracture
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Cloud9 vs Sentinels,Split
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Leviatán vs KRÜ Esports,Split
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Leviatán vs KRÜ Esports,Lotus
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Cloud9 vs KRÜ Esports,Ascent
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Cloud9 vs KRÜ Esports,Pearl
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Cloud9 vs KRÜ Esports,Haven
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Round 1,Sentinels vs Leviatán,Fracture
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Round 1,Sentinels vs Leviatán,Split
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,Cloud9 vs Leviatán,Lotus
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,Cloud9 vs Leviatán,Pearl
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,Cloud9 vs Leviatán,Split
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,Cloud9 vs Leviatán,Haven
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,Cloud9 vs Leviatán,Bind
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,KRÜ Esports vs Leviatán,Split
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,KRÜ Esports vs Leviatán,Pearl
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,KRÜ Esports vs Leviatán,Ascent
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,KRÜ Esports vs Leviatán,Lotus
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Team Heretics vs KOI,Fracture
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Team Heretics vs KOI,Pearl
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Team Heretics vs KOI,Haven
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,BBL Esports vs Karmine Corp,Haven
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,BBL Esports vs Karmine Corp,Lotus
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,BBL Esports vs Karmine Corp,Bind
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Natus Vincere vs KOI,Split
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Natus Vincere vs KOI,Lotus
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Giants Gaming vs Karmine Corp,Pearl
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Giants Gaming vs Karmine Corp,Split
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,KOI vs Giants Gaming,Haven
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,KOI vs Giants Gaming,Pearl
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Natus Vincere vs Karmine Corp,Lotus
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Natus Vincere vs Karmine Corp,Ascent
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Natus Vincere vs Karmine Corp,Pearl
