Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Team Liquid,Natus Vincere,0,2,Natus Vincere won
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,DRX,LOUD,2,1,DRX won
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,FUT Esports,T1,2,0,FUT Esports won
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Evil Geniuses,FunPlus Phoenix,2,0,Evil Geniuses won
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Natus Vincere,DRX,1,2,DRX won
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,NRG Esports,Bilibili Gaming,0,2,Bilibili Gaming won
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,FNATIC,ZETA DIVISION,2,0,FNATIC won
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Evil Geniuses,FUT Esports,2,0,Evil Geniuses won
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Paper Rex,KRÜ Esports,2,0,Paper Rex won
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,EDward Gaming,Giants Gaming,2,1,EDward Gaming won
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,FNATIC,Bilibili Gaming,2,0,FNATIC won
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Team Liquid,LOUD,0,2,LOUD won
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,FunPlus Phoenix,T1,0,2,T1 won
Valorant Champions 2023,Group Stage,Winner's (A),Paper Rex vs EDward Gaming,Paper Rex,EDward Gaming,2,0,Paper Rex won
Valorant Champions 2023,Group Stage,Elimination (A),KRÜ Esports vs Giants Gaming,KRÜ Esports,Giants Gaming,0,2,Giants Gaming won
Valorant Champions 2023,Group Stage,Elimination (C),ZETA DIVISION vs NRG Esports,ZETA DIVISION,NRG Esports,0,2,NRG Esports won
Valorant Champions 2023,Group Stage,Decider (D),Natus Vincere vs LOUD,Natus Vincere,LOUD,1,2,LOUD won
Valorant Champions 2023,Group Stage,Decider (B),FUT Esports vs T1,FUT Esports,T1,2,0,FUT Esports won
Valorant Champions 2023,Group Stage,Decider (A),EDward Gaming vs Giants Gaming,EDward Gaming,Giants Gaming,2,0,EDward Gaming won
Valorant Champions 2023,Group Stage,Decider (C),Bilibili Gaming vs NRG Esports,Bilibili Gaming,NRG Esports,2,0,Bilibili Gaming won
Valorant Champions 2023,Playoffs,Upper Quarterfinals,FNATIC vs LOUD,FNATIC,LOUD,0,2,LOUD won
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Paper Rex vs FUT Esports,Paper Rex,FUT Esports,2,0,Paper Rex won
Valorant Champions 2023,Playoffs,Upper Quarterfinals,DRX vs Bilibili Gaming,DRX,Bilibili Gaming,2,0,DRX won
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,Evil Geniuses,EDward Gaming,2,1,Evil Geniuses won
Valorant Champions 2023,Playoffs,Lower Round 1,FNATIC vs FUT Esports,FNATIC,FUT Esports,2,0,FNATIC won
Valorant Champions 2023,Playoffs,Lower Round 1,Bilibili Gaming vs EDward Gaming,Bilibili Gaming,EDward Gaming,1,2,EDward Gaming won
Valorant Champions 2023,Playoffs,Upper Semifinals,LOUD vs Paper Rex,LOUD,Paper Rex,1,2,Paper Rex won
Valorant Champions 2023,Playoffs,Upper Semifinals,DRX vs Evil Geniuses,DRX,Evil Geniuses,0,2,Evil Geniuses won
Valorant Champions 2023,Playoffs,Lower Round 2,LOUD vs EDward Gaming,LOUD,EDward Gaming,2,1,LOUD won
Valorant Champions 2023,Playoffs,Lower Round 2,DRX vs FNATIC,DRX,FNATIC,1,2,FNATIC won
Valorant Champions 2023,Playoffs,Upper Final,Paper Rex vs Evil Geniuses,Paper Rex,Evil Geniuses,2,1,Paper Rex won
Valorant Champions 2023,Playoffs,Lower Round 3,FNATIC vs LOUD,FNATIC,LOUD,1,2,LOUD won
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Evil Geniuses,LOUD,3,2,Evil Geniuses won
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Paper Rex,Evil Geniuses,1,3,Evil Geniuses won
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,MIBR vs KRÜ Esports,MIBR,KRÜ Esports,0,2,KRÜ Esports won
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,FURIA vs KRÜ Esports,FURIA,KRÜ Esports,1,2,KRÜ Esports won
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Sentinels vs 100 Thieves,Sentinels,100 Thieves,2,1,Sentinels won
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Cloud9 vs Sentinels,Cloud9,Sentinels,2,1,Cloud9 won
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Leviatán vs KRÜ Esports,Leviatán,KRÜ Esports,0,2,KRÜ Esports won
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Cloud9 vs KRÜ Esports,Cloud9,KRÜ Esports,1,2,KRÜ Esports won
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Round 1,Sentinels vs Leviatán,Sentinels,Leviatán,0,2,Leviatán won
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,Cloud9 vs Leviatán,Cloud9,Leviatán,2,3,Leviatán won
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,KRÜ Esports vs Leviatán,KRÜ Esports,Leviatán,3,1,KRÜ Esports won
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Team Heretics vs KOI,Team Heretics,KOI,1,2,KOI won
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,BBL Esports vs Karmine Corp,BBL Esports,Karmine Corp,1,2,Karmine Corp won
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Natus Vincere vs KOI,Natus Vincere,KOI,0,2,KOI won
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Giants Gaming vs Karmine Corp,Giants Gaming,Karmine Corp,2,0,Giants Gaming won
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,KOI vs Giants Gaming,KOI,Giants Gaming,0,2,Giants Gaming won
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Natus Vincere vs Karmine Corp,Natus Vincere,Karmine Corp,2,1,Natus Vincere won
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,KOI vs Natus Vincere,KOI,Natus Vincere,0,3,Natus Vincere won
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Giants Gaming vs Natus Vincere,Giants Gaming,Natus Vincere,3,0,Giants Gaming won
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Round 1,Talon Esports vs DetonatioN FocusMe,Talon Esports,DetonatioN FocusMe,2,0,Talon Esports won
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Quarterfinals,Rex Regum Qeon vs Global Esports,Rex Regum Qeon,Global Esports,2,0,Rex Regum Qeon won
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Quarterfinals,Gen.G vs Talon Esports,Gen.G,Talon Esports,2,1,Gen.G won
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,ZETA DIVISION vs Rex Regum Qeon,ZETA DIVISION,Rex Regum Qeon,2,1,ZETA DIVISION won
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Team Secret,Gen.G,2,0,Team Secret won
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,ZETA DIVISION,Team Secret,2,0,ZETA DIVISION won
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Rex Regum Qeon,Gen.G,1,2,Gen.G won
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Final,Team Secret vs Gen.G,Team Secret,Gen.G,3,1,Team Secret won
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Grand Final,ZETA DIVISION vs Team Secret,ZETA DIVISION,Team Secret,3,1,ZETA DIVISION won
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Weibo Gaming vs Totoro Gaming,Weibo Gaming,Totoro Gaming,0,2,Totoro Gaming won
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Number One Player vs Douyu Gaming,Number One Player,Douyu Gaming,0,2,Douyu Gaming won
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Gank Gaming vs Royal Never Give Up,Gank Gaming,Royal Never Give Up,1,2,Royal Never Give Up won
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Four Angry Men vs Night Wings Gaming,Four Angry Men,Night Wings Gaming,1,2,Night Wings Gaming won
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Invincible Gaming vs Nova Esports,Invincible Gaming,Nova Esports,0,2,Nova Esports won
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,TYLOO vs Monarch Effect,TYLOO,Monarch Effect,2,1,TYLOO won
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Shenzhen NTER vs Kingzone,Shenzhen NTER,Kingzone,2,0,Shenzhen NTER won
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 1,Dragon Ranger Gaming vs Rare Atom,Dragon Ranger Gaming,Rare Atom,2,1,Dragon Ranger Gaming won
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 2,Totoro Gaming vs Shenzhen NTER,Totoro Gaming,Shenzhen NTER,2,0,Totoro Gaming won
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 2,Dragon Ranger Gaming vs Royal Never Give Up,Dragon Ranger Gaming,Royal Never Give Up,2,0,Dragon Ranger Gaming won
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 2,Nova Esports vs TYLOO,Nova Esports,TYLOO,0,2,TYLOO won
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 2,Night Wings Gaming vs Douyu Gaming,Night Wings Gaming,Douyu Gaming,0,2,Douyu Gaming won
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 2,Gank Gaming vs Invincible Gaming,Gank Gaming,Invincible Gaming,2,0,Gank Gaming won
Champions Tour 2023: Champions China Qualifier,Preliminary Stage,Round 2,Number One Player vs Kingzone,Number One Player,Kingzone,2,0,Number One Player won
