Tournament,Stage,Match Type,Player,Team,Agents,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage Per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Clutches (won/played),Maximum Kills in a Single Map,Kills,Deaths,Assists,First Kills,First Deaths
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Melser,KRÜ Esports,brimstone,20,1.14,256,1.21,75%,168.9,0.85,0.45,0.1,0.15,32%,,0/1,17,17,14,9,2,3
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Melser,KRÜ Esports,omen,21,1.12,216,1.38,81%,131.8,0.86,0.05,0.19,0.05,25%,33%,1/3,18,18,13,1,4,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Melser,KRÜ Esports,"brimstone, omen",41,1.13,236,1.3,78%,149.9,0.85,0.24,0.15,0.1,28%,25%,1/4,18,35,27,10,6,4
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,DaveeyS,KRÜ Esports,killjoy,21,1.29,253,1.46,86%,170.1,0.9,0.33,0.1,0,27%,100%,1/1,19,19,13,7,2,0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,keznit,KRÜ Esports,raze,41,1.24,262.5,1.3,80%,172.5,0.85,0.39,0.15,0.1,15%,,0/3,20,35,27,16,6,4
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,Klaus,KRÜ Esports,skye,41,1.25,217,1.22,78%,118.9,0.8,0.63,0.07,0.17,33%,50%,2/4,22,33,27,26,3,7
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,NagZ,KRÜ Esports,viper,41,0.91,118,0.68,71%,86.3,0.37,0.51,0.05,0.1,22%,40%,2/5,9,15,22,21,2,4
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,RgLMeister,MIBR,brimstone,20,0.62,143,0.56,60%,100.8,0.45,0.35,0.05,0.05,22%,,0/1,9,9,16,7,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,RgLMeister,MIBR,omen,21,1.02,161,1.08,86%,103.9,0.62,0.33,0.05,0.05,23%,,0/2,13,13,12,7,1,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,RgLMeister,MIBR,"brimstone, omen",41,0.82,152,0.79,73%,102.3,0.54,0.34,0.05,0.05,23%,,0/3,13,22,28,14,2,2
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,TxoziN,MIBR,killjoy,21,0.91,139,0.75,81%,93.8,0.43,0.29,0.05,0.1,10%,,0/2,9,9,12,6,1,2
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,TxoziN,MIBR,viper,20,0.37,79,0.17,35%,60.5,0.15,0.25,0,0.2,8%,,0/3,3,3,18,5,0,4
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,TxoziN,MIBR,"killjoy, viper",41,0.64,109,0.4,59%,77.5,0.29,0.27,0.02,0.15,9%,,0/5,9,12,30,11,1,6
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,jzz,MIBR,raze,41,1.06,225,1.03,68%,146,0.76,0.1,0.17,0.17,33%,,0/6,16,31,30,4,7,7
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,frz,MIBR,skye,21,1.01,243,1.06,81%,163.5,0.86,0.33,0.1,0.1,31%,,0/3,18,18,17,7,2,2
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,murizzz,MIBR,skye,20,0.98,197,0.93,55%,141.7,0.7,0.25,0.05,0,38%,,0/4,14,14,15,5,1,0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,murizzz,MIBR,viper,21,0.93,195,0.81,67%,144.2,0.62,0.24,0.05,0.1,23%,33%,1/3,13,13,16,5,1,2
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,murizzz,MIBR,"skye, viper",41,0.95,196,0.87,61%,143,0.66,0.24,0.05,0.05,29%,14%,1/7,14,27,31,10,2,2
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Marved,Sentinels,astra,46,1.1,209,1.06,80%,135.3,0.76,0.37,0.07,0.02,28%,33%,1/3,20,35,33,17,3,1
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Marved,Sentinels,brimstone,20,0.98,143,0.64,80%,90.5,0.45,0.7,0.15,0.1,30%,,,9,9,14,14,3,2
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Marved,Sentinels,"brimstone, astra",66,1.06,187,0.94,80%,121.7,0.67,0.47,0.09,0.05,29%,33%,1/3,20,44,47,31,6,3
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,zekken,Sentinels,jett,26,1.35,268,1.63,69%,172.5,1,0.15,0.15,0.23,35%,,0/1,26,26,16,4,4,6
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,zekken,Sentinels,raze,40,1.21,267.5,1.33,73%,193.4,0.9,0.25,0.15,0.18,27%,,0/1,20,36,27,10,6,7
